"filename", "language", "pip requirements", "Python", "XML", "Django", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\static\js\eliminar_detalle_pedido.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 5, 43
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\static\js\eliminar_pedido.js", "JavaScript", 0, 0, 0, 0, 38, 0, 0, 5, 43
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\tables.py", "Python", 0, 53, 0, 0, 0, 0, 0, 17, 70
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\cartera_list_etnico.html", "Django", 0, 0, 0, 39, 0, 0, 1, 0, 40
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\cartera_list_fieldex.html", "Django", 0, 0, 0, 39, 0, 0, 1, 0, 40
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\cartera_list_heavens.html", "Django", 0, 0, 0, 39, 0, 0, 1, 0, 40
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\cartera_list_juan.html", "Django", 0, 0, 0, 39, 0, 0, 1, 0, 40
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\comercialbase.html", "Django", 0, 0, 0, 117, 0, 0, 0, 0, 117
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\detalle_pedido_button.html", "Django", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\detalle_pedido_crear.html", "Django", 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\detalle_pedido_editar.html", "Django", 0, 0, 0, 36, 0, 0, 0, 0, 36
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\detalle_pedido_editar_button.html", "Django", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\detalle_pedido_eliminar_button.html", "Django", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\detalle_pedido_eliminart.html", "Django", 0, 0, 0, 36, 0, 0, 0, 0, 36
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\editar_pedido_button.html", "Django", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\eliminar_pedido_button.html", "Django", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\pedido_crear.html", "Django", 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\pedido_detalle_list.html", "Django", 0, 0, 0, 76, 0, 0, 3, 7, 86
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\pedido_editar.html", "Django", 0, 0, 0, 36, 0, 0, 0, 0, 36
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\pedido_eliminar.html", "Django", 0, 0, 0, 36, 0, 0, 0, 0, 36
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\pedido_list_Juan.html", "Django", 0, 0, 0, 54, 0, 0, 3, 4, 61
"c:\Users\LEGION 5 PRO\PycharmProjects\Django_heavens\comercial\templates\pedido_list_etnico.html", "Django", 0, 0, 0, 54, 0, 0, 3, 3, 60
